observedAt,linkId,platform,handle,canonicalUrl,audienceKind,audienceCount,audienceCountRaw,source
2026-03-10T02:28:53.048Z,primal,primal,peterryszkiewicz,https://primal.net/peterryszkiewicz,followers,15,15 followers,public-cache
2026-03-10T02:29:19.676Z,primal,primal,peterryszkiewicz,https://primal.net/peterryszkiewicz,followers,15,15 followers,public-cache
2026-03-11T07:18:51.860Z,primal,primal,peterryszkiewicz,https://primal.net/peterryszkiewicz,followers,15,15 followers,public-cache
2026-03-12T07:19:27.872Z,primal,primal,peterryszkiewicz,https://primal.net/peterryszkiewicz,followers,15,15 followers,public-cache
2026-03-14T07:15:27.521Z,primal,primal,peterryszkiewicz,https://primal.net/peterryszkiewicz,followers,15,15 followers,public-cache
2026-03-15T07:19:52.733Z,primal,primal,peterryszkiewicz,https://primal.net/peterryszkiewicz,followers,15,15 followers,public-cache
2026-03-16T07:31:33.598Z,primal,primal,peterryszkiewicz,https://primal.net/peterryszkiewicz,followers,15,15 followers,public-cache
2026-03-17T07:23:24.394Z,primal,primal,peterryszkiewicz,https://primal.net/peterryszkiewicz,followers,15,15 followers,public-cache
2026-03-18T07:23:29.618Z,primal,primal,peterryszkiewicz,https://primal.net/peterryszkiewicz,followers,15,15 followers,public-cache
2026-03-19T07:21:37.334Z,primal,primal,peterryszkiewicz,https://primal.net/peterryszkiewicz,followers,14,14 followers,public-cache
