observedAt,linkId,platform,handle,canonicalUrl,audienceKind,audienceCount,audienceCountRaw,source
2026-03-10T02:28:53.048Z,x,x,pryszkie,https://x.com/pryszkie,followers,1351,"1,351 Followers",public-cache
2026-03-10T02:29:19.676Z,x,x,pryszkie,https://x.com/pryszkie,followers,1351,"1,351 Followers",public-cache
2026-03-11T07:18:51.860Z,x,x,pryszkie,https://x.com/pryszkie,followers,1349,"1,349 Followers",public-cache
2026-03-12T07:19:27.872Z,x,x,pryszkie,https://x.com/pryszkie,followers,1351,"1,351 Followers",public-cache
2026-03-14T07:15:27.521Z,x,x,pryszkie,https://x.com/pryszkie,followers,1351,"1,351 Followers",public-cache
2026-03-15T07:19:52.733Z,x,x,pryszkie,https://x.com/pryszkie,followers,1351,"1,351 Followers",public-cache
2026-03-16T07:31:33.598Z,x,x,pryszkie,https://x.com/pryszkie,followers,1352,"1,352 Followers",public-cache
2026-03-17T07:23:24.394Z,x,x,pryszkie,https://x.com/pryszkie,followers,1350,"1,350 Followers",public-cache
2026-03-18T07:23:29.618Z,x,x,pryszkie,https://x.com/pryszkie,followers,1351,"1,351 Followers",public-cache
2026-03-19T07:21:37.334Z,x,x,pryszkie,https://x.com/pryszkie,followers,1352,"1,352 Followers",public-cache
2026-03-21T07:14:23.534Z,x,x,pryszkie,https://x.com/pryszkie,followers,1350,"1,350 Followers",public-cache
2026-03-22T07:16:51.149Z,x,x,pryszkie,https://x.com/pryszkie,followers,1353,"1,353 Followers",public-cache
2026-03-23T07:29:22.232Z,x,x,pryszkie,https://x.com/pryszkie,followers,1353,"1,353 Followers",public-cache
2026-03-25T07:22:53.938Z,x,x,pryszkie,https://x.com/pryszkie,followers,1353,"1,353 Followers",public-cache
2026-03-26T07:27:50.463Z,x,x,pryszkie,https://x.com/pryszkie,followers,1354,"1,354 Followers",public-cache
2026-03-27T07:28:21.328Z,x,x,pryszkie,https://x.com/pryszkie,followers,1350,"1,350 Followers",public-cache
2026-03-28T07:20:08.080Z,x,x,pryszkie,https://x.com/pryszkie,followers,1351,"1,351 Followers",public-cache
2026-03-29T07:23:26.072Z,x,x,pryszkie,https://x.com/pryszkie,followers,1351,"1,351 Followers",public-cache
2026-03-30T07:32:26.442Z,x,x,pryszkie,https://x.com/pryszkie,followers,1350,"1,350 Followers",public-cache
2026-03-31T07:31:12.443Z,x,x,pryszkie,https://x.com/pryszkie,followers,1351,"1,351 Followers",public-cache
2026-04-01T07:32:07.892Z,x,x,pryszkie,https://x.com/pryszkie,followers,1353,"1,353 Followers",public-cache
2026-04-02T07:30:21.397Z,x,x,pryszkie,https://x.com/pryszkie,followers,1352,"1,352 Followers",public-cache
2026-04-03T07:28:05.489Z,x,x,pryszkie,https://x.com/pryszkie,followers,1354,"1,354 Followers",public-cache
2026-04-04T07:22:41.425Z,x,x,pryszkie,https://x.com/pryszkie,followers,1353,"1,353 Followers",public-cache
2026-04-07T07:31:31.147Z,x,x,pryszkie,https://x.com/pryszkie,followers,1350,"1,350 Followers",public-cache
2026-04-08T07:32:01.185Z,x,x,pryszkie,https://x.com/pryszkie,followers,1348,"1,348 Followers",public-cache
2026-04-09T07:32:14.803Z,x,x,pryszkie,https://x.com/pryszkie,followers,1348,"1,348 Followers",public-cache
2026-04-10T07:32:42.275Z,x,x,pryszkie,https://x.com/pryszkie,followers,1349,"1,349 Followers",public-cache
2026-04-11T07:22:47.039Z,x,x,pryszkie,https://x.com/pryszkie,followers,1349,"1,349 Followers",public-cache
2026-04-12T07:30:03.976Z,x,x,pryszkie,https://x.com/pryszkie,followers,1349,"1,349 Followers",public-cache
2026-04-13T07:34:54.469Z,x,x,pryszkie,https://x.com/pryszkie,followers,1349,"1,349 Followers",public-cache
2026-04-14T07:32:48.062Z,x,x,pryszkie,https://x.com/pryszkie,followers,1352,"1,352 Followers",public-cache
2026-04-15T07:33:03.156Z,x,x,pryszkie,https://x.com/pryszkie,followers,1356,"1,356 Followers",public-cache
2026-04-16T07:32:35.359Z,x,x,pryszkie,https://x.com/pryszkie,followers,1356,"1,356 Followers",public-cache
2026-04-17T07:33:05.594Z,x,x,pryszkie,https://x.com/pryszkie,followers,1356,"1,356 Followers",public-cache
2026-04-18T07:26:41.978Z,x,x,pryszkie,https://x.com/pryszkie,followers,1356,"1,356 Followers",public-cache
